trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-160.20827421077638,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-202.60042972596537,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,3,-105.17137905310275,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,7,-15.921155567578971,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-115.70289307096675,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-141.31607684183172,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,3,-187.94028473066308,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 4}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-187.7287600061979,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-228.4898819123335,"{0: 16, 1: 2, 2: 8, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-221.54582839212347,"{0: 11, 1: 4, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-166.03359360544633,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-77.04802572510062,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-41.83052683851733,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-135.20031039919243,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-45.05460079432744,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-47.82549295162925,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,9,5.211602826270832,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-94.28788363444963,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,14,23.471440490721395,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,22.624807390007152,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0}",20,0,28.12313746182625,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 0}",20,2,-14.586210714676696,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 0}",25,7,32.169638396216634,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0}",20,0,-15.112634977340434,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 0}",25,0,-52.11532560999244,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 0}",25,3,-75.72644232351269,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
7,True,"{'a': 0.5, 'e': 0}",20,0,-35.09329536631817,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 0}",25,0,-45.80978809687424,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 0}",30,1,-42.76718814465251,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 2}",1
10,True,"{'a': 0.5, 'e': 0}",20,0,-60.8444667518222,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
