trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9992003199146837}",30,0,-226.95461802069926,"{0: 14, 1: 3, 2: 7, 3: 4, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.9984012793176064}",25,0,-107.01780312825734,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.9976028776973818}",35,0,-276.0444794278957,"{0: 15, 1: 4, 2: 11, 3: 2, 4: 3}",0
4,False,"{'a': 0.4, 'e': 0.9968051145430329}",20,7,-43.97834498020712,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
5,False,"{'a': 0.4, 'e': 0.9960079893439915}",20,0,-180.34438353263408,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.4, 'e': 0.9952115015900972}",30,0,-178.53622551500206,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.9944156507715979}",20,0,-63.278927819977184,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.4, 'e': 0.993620436379149}",30,0,-313.53019123391937,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 6}",0
9,False,"{'a': 0.4, 'e': 0.9928258579038134}",20,0,-71.97483897135268,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.9920319148370607}",25,0,-107.08691165307809,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.9912386066707672}",30,0,-159.19637733886194,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.990445932897216}",25,0,-74.57352370654901,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.4, 'e': 0.9896538930090956}",25,0,-181.88264690572214,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
14,False,"{'a': 0.4, 'e': 0.9888624864995005}",20,0,-85.89240967570426,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.9880717128619305}",30,0,-153.8303181899298,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.4, 'e': 0.9872815715902905}",20,0,-71.92153994260069,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.98649206217889}",25,0,-98.42921609437306,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.985703184122443}",20,0,-66.40456778763611,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
19,False,"{'a': 0.4, 'e': 0.9849149369160675}",20,0,-47.73031388038506,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.4, 'e': 0.9841273200552851}",25,0,-57.29701868508867,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.4, 'e': 0.9833403330360212}",20,0,-125.80273017731949,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.9825539753546041}",25,0,-152.1576662094764,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
23,False,"{'a': 0.4, 'e': 0.9817682465077646}",20,0,-42.77378706048775,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.4, 'e': 0.9809831459926365}",30,0,-168.8592695234426,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
25,False,"{'a': 0.4, 'e': 0.9801986733067553}",30,0,-122.01234358209959,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
26,False,"{'a': 0.4, 'e': 0.9794148279480585}",25,0,-187.31740714868616,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
27,False,"{'a': 0.4, 'e': 0.9786316094148849}",20,0,-85.41264628612663,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.4, 'e': 0.9778490172059748}",20,15,-1.1953946869944145,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.4, 'e': 0.9770670508204692}",30,0,-225.64718867905114,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
30,False,"{'a': 0.4, 'e': 0.9762857097579093}",20,0,-77.71599977489576,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
31,False,"{'a': 0.4, 'e': 0.975504993518237}",20,0,-43.170707575629216,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 0.4, 'e': 0.9747249016017939}",20,0,-123.96343446304847,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
33,False,"{'a': 0.4, 'e': 0.9739454335093212}",25,0,-107.6503223974398,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
34,False,"{'a': 0.4, 'e': 0.973166588741959}",25,0,-178.22940954403282,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
35,False,"{'a': 0.4, 'e': 0.9723883668012469}",30,0,-184.5419346248501,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
36,False,"{'a': 0.4, 'e': 0.9716107671891228}",20,0,-44.817808780793214,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.4, 'e': 0.9708337894079228}",25,0,-175.07099447079895,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
38,False,"{'a': 0.4, 'e': 0.970057432960381}",25,0,-31.584593788052356,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
39,False,"{'a': 0.4, 'e': 0.9692816973496297}",25,0,-75.93764850390596,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.4, 'e': 0.9685065820791976}",25,0,-96.44694425223915,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.4, 'e': 0.9677320866530111}",20,0,-93.9400897313447,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.4, 'e': 0.9669582105753931}",20,9,-22.953509656637202,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.4, 'e': 0.9661849533510629}",20,0,-130.33410957857387,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
44,False,"{'a': 0.4, 'e': 0.9654123144851359}",25,0,-94.5752556472668,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.9646402934831231}",25,0,-62.157635282786735,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
