trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.81233830866037,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-275.5603666630049,"{0: 6, 1: 5, 2: 8, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-234.34944753332425,"{0: 7, 1: 1, 2: 8, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.5288020633753,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.43677072017138,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.91874150408267,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-275.1145881332735,"{0: 6, 1: 3, 2: 5, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-223.07676508333236,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.99195306279435,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-88.68557809314868,"{0: 17, 1: 5, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.07199136697143,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.05109743583722,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-228.12038185617018,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.403227347107,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.59266831706469,"{0: 7, 1: 3, 2: 9, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.7239844035187,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,4,-136.04814317660623,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.38799095582806,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.3431642288608,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.9195555442198,"{0: 12, 1: 6, 2: 7, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.3336163640309,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.400635355583006,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.98266488234384,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-63.159135252596954,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-249.64513827880356,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.6302555779451,"{0: 10, 1: 6, 2: 2, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-175.1270925542391,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-146.66910872463393,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.71193868776886,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-159.89442447173587,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
